"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"S602","MX1A_no3d","237.7475mm","9.20125mm","237.7475mm","9.20125mm","233.9375mm","11.74125mm","T","0","MX1A",
"S61","MX1A","237.7475mm","85.39998mm","237.7475mm","85.39998mm","233.9375mm","87.93998mm","T","0","MX1A",
"S62","MX1A","247.2725mm","66.34998mm","247.2725mm","66.34998mm","243.4625mm","68.88998mm","T","0","MX1A",
"S63","MX1A_no3d","252.035mm","47.29998mm","252.035mm","47.29998mm","248.225mm","49.83998mm","T","0","MX1A",
"S64","MX1A_no3d","242.51mm","28.25125mm","242.51mm","28.25125mm","238.7mm","30.79125mm","T","0","MX1A",
"S641","MX1A_no3d","275.8475mm","28.25125mm","275.8475mm","28.25125mm","272.0375mm","30.79125mm","T","0","MX1A",
"S642","MX1A_no3d","237.7475mm","28.24998mm","237.7475mm","28.24998mm","233.9375mm","30.78998mm","T","0","MX1A",
"S65","MX1A","259.17875mm","9.20125mm","259.17875mm","9.20125mm","255.36875mm","11.74125mm","T","0","MX1A",
"S651","MX1A_no3d","249.65375mm","9.20125mm","249.65375mm","9.20125mm","245.84375mm","11.74125mm","T","0","MX1A",
"S652","MX1A_no3d","256.7975mm","9.20125mm","256.7975mm","9.20125mm","252.9875mm","11.74125mm","T","0","MX1A",
"S66","MX1A","266.3225mm","85.39998mm","266.3225mm","85.39998mm","262.5125mm","87.93998mm","T","0","MX1A",
"S661","MX1A_no3d","256.7975mm","85.40125mm","256.7975mm","85.40125mm","252.9875mm","87.94125mm","T","0","MX1A",
"S67","MX1A","271.085mm","66.35125mm","271.085mm","66.35125mm","274.895mm","63.81125mm","T","180","MX1A",
"S68","MX1A","263.94125mm","47.30125mm","263.94125mm","47.30125mm","260.13125mm","49.84125mm","T","0","MX1A",
"S681","MX1A_no3d","273.46625mm","56.82625mm","273.46625mm","56.82625mm","276.00625mm","60.63625mm","T","270","MX1A",
"S682","MX1A_no3d","273.46625mm","47.30125mm","273.46625mm","47.30125mm","269.65625mm","49.84125mm","T","0","MX1A",
"S69","MX1A","259.17875mm","28.24998mm","259.17875mm","28.24998mm","255.36875mm","30.78998mm","T","0","MX1A",
"S691","MX1A_no3d","268.70375mm","28.25125mm","268.70375mm","28.25125mm","264.89375mm","30.79125mm","T","0","MX1A",
"S692","MX1A_no3d","249.65375mm","28.25125mm","249.65375mm","28.25125mm","245.84375mm","30.79125mm","T","0","MX1A",
"S693","MX1A_no3d","256.7975mm","28.24998mm","256.7975mm","28.24998mm","252.9875mm","30.78998mm","T","0","MX1A",
"S7","MX1A","37.7225mm","66.34998mm","37.7225mm","66.34998mm","33.9125mm","68.88998mm","T","0","MX1A",
"S70","MX1A","275.8475mm","9.20125mm","275.8475mm","9.20125mm","272.0375mm","11.74125mm","T","0","MX1A",
"S7012","MX1A_no3d","273.46625mm","9.20125mm","273.46625mm","9.20125mm","269.65625mm","11.74125mm","T","0","MX1A",
"S8","MX1A","42.485mm","47.29998mm","42.485mm","47.29998mm","38.675mm","49.83998mm","T","0","MX1A",
"S9","MX1A_no3d","32.96mm","28.25125mm","32.96mm","28.25125mm","29.15mm","30.79125mm","T","0","MX1A",
"J1","67503","18.31mm","94.52mm","18.31mm","94.52mm","16.7098mm","88.2691mm","B","180","USB_2",
